GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pakcatt,pakcatt.network.radio.tnc,TNCSerial,180,0,14,0,38,0,15,0,8,0
pakcatt,pakcatt.network.radio.tnc,TNC,7,14,0,0,0,4,1,3,1,3
pakcatt,pakcatt.application.bulletinboard.persistence,BulletinBoardThread,24,39,0,0,1,4,5,4,5,4
pakcatt,pakcatt.application.bulletinboard.persistence,BulletinBoardStore.getPostsInThread..inlined.sortedBy.new Comparator() {...},0,22,0,0,0,3,0,1,0,1
pakcatt,pakcatt.application.bulletinboard.persistence,BulletinBoardStore.getThreads..inlined.sortedBy.new Comparator() {...},0,22,0,0,0,3,0,1,0,1
pakcatt,pakcatt.application.bulletinboard.persistence,BulletinBoardPost,18,39,0,0,1,4,4,5,4,5
pakcatt,pakcatt.application.bulletinboard.persistence,BulletinBoardStore,124,92,9,3,23,13,8,8,3,7
pakcatt,pakcatt.network.radio.protocol.shared,ProtocolService,0,3,0,0,0,1,0,1,0,1
pakcatt,pakcatt.application.mailbox,MailboxApp,170,312,13,5,23,37,11,6,3,5
pakcatt,pakcatt.application.mailbox,MailboxApp.new Function1() {...},0,8,0,0,0,1,0,1,0,1
pakcatt,pakcatt.application.mailbox,MailboxApp.new Function1() {...},8,0,0,0,1,0,1,0,1,0
pakcatt,pakcatt.application.mailbox,MailboxApp.new Function1() {...},8,0,0,0,1,0,1,0,1,0
pakcatt,pakcatt.application.mailbox,MailboxApp.new Function1() {...},8,0,0,0,1,0,1,0,1,0
pakcatt,pakcatt.network.radio.kiss.queue,DeliveryQueue,0,21,0,0,0,5,0,3,0,3
pakcatt,pakcatt.network.radio.protocol.packet.connection,ConnectionHandler,137,583,20,43,27,119,23,35,4,17
pakcatt,pakcatt.network.radio.protocol.packet.connection,SequencedQueue,0,208,4,16,0,36,4,13,0,7
pakcatt,pakcatt.util,StringUtils,40,470,6,22,1,54,7,27,1,19
pakcatt,pakcatt.util,ByteUtils,0,306,0,14,0,53,0,24,0,17
pakcatt,pakcatt.network.radio.protocol.aprs.handlers,APRSMessageHandler,75,58,12,4,13,8,8,3,0,3
pakcatt,pakcatt.network.radio.protocol.aprs.handlers,APRSHandler,6,33,0,0,2,2,2,3,2,3
pakcatt,pakcatt.network.radio.protocol.aprs.handlers,APRSStatusHandler,62,31,7,1,11,4,5,2,1,2
pakcatt,pakcatt.network.radio.protocol.aprs.handlers,APRSMicEDataHandler,94,48,8,0,21,7,6,2,2,2
pakcatt,pakcatt.application.last,LastApp,134,15,4,0,18,2,8,1,6,1
pakcatt,pakcatt.application.shared.model,Location,57,0,0,0,8,0,9,0,9,0
pakcatt,pakcatt.application.shared.model,AppResponse,0,34,0,0,0,5,0,5,0,5
pakcatt,pakcatt.application.shared.model,AppRequest,37,80,0,0,0,9,7,12,7,12
pakcatt,pakcatt.application.shared.model,AppResponse.Companion,0,24,0,0,0,3,0,3,0,3
pakcatt,pakcatt.application.shared.model,AdhocMessage,0,39,0,0,0,4,0,5,0,5
pakcatt,pakcatt.network.radio.kiss,KissService.new Function1() {...},0,5,0,0,0,2,0,1,0,1
pakcatt,pakcatt.network.radio.kiss,KissService,18,362,4,16,2,65,4,23,0,17
pakcatt,pakcatt.application.filter.shared,OutputFilter,0,3,0,0,0,1,0,1,0,1
